County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Location,Counties,New York Zip Codes
New York,622170,Store,JAC   ,ALOUBAHI MOHAMED M               ,STOP 1 LEXINGTON DELI  ,1801,LEXINGTON AVE               ,             ,               ,NEW YORK          ,NY,10029,600,"{'latitude': '40.795947', 'longitude': '-73.94358', 'human_address': '{""address"": ""1801 LEXINGTON AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10029""}'}",2095,756
New York,720069,Store,A     ,STOP 1 TOBACCO SHOP CORP         ,STOP 1 TOBACCO SHOP    ,201,CLINTON ST                   ,             ,               ,NEW YORK          ,NY,10002,500,"{'latitude': '40.713956', 'longitude': '-73.987128', 'human_address': '{""address"": ""201 CLINTON ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10002""}'}",2095,718
New York,715449,Store,JAC   ,STOP ONE FOOD MARKET INC         ,STOP ONE FOOD MARKET   ,748,10TH AVE                     ,             ,               ,NEW YORK          ,NY,10019,1200,"{'latitude': '40.76524', 'longitude': '-73.991383', 'human_address': '{""address"": ""748 10TH AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10019""}'}",2095,742
New York,728437,Store,A     ,LUNA & STELLA LLC                ,STORY                  ,144,10TH AVE                     ,             ,               ,NEW YORK          ,NY,10011,0,"{'latitude': '40.74507', 'longitude': '-74.006087', 'human_address': '{""address"": ""144 10TH AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10011""}'}",2095,735
New York,730077,Store,JAC   ,STRAWBERRY 2 LLC                 ,STRAWBERRY 2           ,130,10TH AVE                     ,             ,               ,NEW YORK          ,NY,10011,0,"{'latitude': '40.744766', 'longitude': '-74.00631', 'human_address': '{""address"": ""130 10TH AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10011""}'}",2095,735
New York,625657,Store,A     ,STUYVESANT DELI & NEWS INC       ,STUYVESANT DELI & NEWS ,375,1ST AVE                      ,             ,               ,NEW YORK          ,NY,10010,900,"{'latitude': '40.736136', 'longitude': '-73.979075', 'human_address': '{""address"": ""375 1ST AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10010""}'}",2095,734
New York,626700,Store,JAC   ,468-470 FOOD CORP                ,SUGAR DELI FOOD CENTER ,468-470,9TH AVE                  ,             ,               ,NEW YORK          ,NY,10018,6000,"{'latitude': '40.754803', 'longitude': '-73.995271', 'human_address': '{""address"": ""468 470 9TH AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10018""}'}",2095,741
New York,736901,Store,A     ,SUGAR HILL CANDY CORP            ,SUGAR HILL CANDY       ,741,SAINT NICHOLAS AVENUE        ,             ,               ,NEW YORK          ,NY,10031,0,"{'latitude': '40.825495', 'longitude': '-73.943703', 'human_address': '{""address"": ""741 SAINT NICHOLAS AVENUE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10031""}'}",2095,758
New York,743097,Store,JAC   ,SUGAR HILL FISH PLACE LLC        ,SUGAR HILL FISH PLACE  ,346,WEST 145TH STREET            ,             ,               ,NEW YORK          ,NY,10039,0,"{'latitude': '40.82376', 'longitude': '-73.944108', 'human_address': '{""address"": ""346 WEST 145TH STREET"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10039""}'}",2095,757
New York,623155,Store,JAC   ,SUHAIL FADHL N                   ,SUHAIL DELI&GROCERY    ,1536,AMSTERDAM AVE               ,             ,               ,NEW YORK          ,NY,10031,1500,"{'latitude': '40.819442', 'longitude': '-73.951843', 'human_address': '{""address"": ""1536 AMSTERDAM AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10031""}'}",2095,758
New York,713133,Store,JAC   ,SULAI MINI MART INC              ,SULAI MINI MART        ,1737,SECOND AVE                  ,             ,               ,NEW YORK          ,NY,10128,1600,"{'latitude': '40.780266', 'longitude': '-73.949979', 'human_address': '{""address"": ""1737 SECOND AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10128""}'}",2095,583
New York,628556,Store,JAC   ,765 SIXTH AVENUE MARKET INC      ,SUNAC                  ,765,AVENUE OF THE AMERICAS       ,             ,               ,NEW YORK          ,NY,10010,4000,"{'human_address': '{""address"": ""765 AVENUE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10010""}'}",,
New York,730366,Store,JAC   ,PC4WEST INC                      ,SUNAC                  ,4,W 18TH ST                      ,             ,               ,NEW YORK          ,NY,10011,0,"{'latitude': '40.738804', 'longitude': '-73.992562', 'human_address': '{""address"": ""4 W 18TH ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10011""}'}",2095,735
New York,707917,Store,JAC   ,JUN 0709 INC                     ,SUNAC NATURAL          ,600,W 42ND STREET                ,             ,               ,NEW YORK          ,NY,10036,16000,"{'latitude': '40.760994', 'longitude': '-73.998699', 'human_address': '{""address"": ""600 W 42ND STREET"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10036""}'}",2095,795
New York,627712,Store,JACD  ,SUN HING LUNG CO INC             ,SUN HING LUNG          ,58,HENRY ST                      ,             ,               ,NEW YORK          ,NY,10002,3000,"{'latitude': '40.712974', 'longitude': '-73.995068', 'human_address': '{""address"": ""58 HENRY ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10002""}'}",2095,718
New York,628431,Store,JAC   ,SUN MING JAN INC                 ,SUN MING JAN           ,111,HESTER ST                    ,             ,               ,NEW YORK          ,NY,10002,2000,"{'latitude': '40.716548', 'longitude': '-73.993057', 'human_address': '{""address"": ""111 HESTER ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10002""}'}",2095,718
